SUBASSEMBLY_ID,SUPERASSEMBLY_ID
PDB-CPX-103850,PDB-CPX-103848
PDB-CPX-103850,PDB-CPX-103849
PDB-CPX-103861,PDB-CPX-103862
PDB-CPX-103871,PDB-CPX-103872
PDB-CPX-103883,PDB-CPX-103882
PDB-CPX-103924,PDB-CPX-103925
PDB-CPX-103938,PDB-CPX-103937
PDB-CPX-103940,PDB-CPX-103939
PDB-CPX-103941,PDB-CPX-103939
PDB-CPX-103942,PDB-CPX-103939
PDB-CPX-103942,PDB-CPX-103940
PDB-CPX-103942,PDB-CPX-103941
PDB-CPX-104002,PDB-CPX-104003
PDB-CPX-104004,PDB-CPX-104005
PDB-CPX-104004,PDB-CPX-104006
PDB-CPX-104007,PDB-CPX-104008
PDB-CPX-104007,PDB-CPX-104009
PDB-CPX-104027,PDB-CPX-103142
PDB-CPX-104039,PDB-CPX-104040
PDB-CPX-104052,PDB-CPX-104053
PDB-CPX-104133,PDB-CPX-104134
PDB-CPX-104136,PDB-CPX-104137
PDB-CPX-104136,PDB-CPX-104138
PDB-CPX-104136,PDB-CPX-104139
PDB-CPX-104136,PDB-CPX-104140
PDB-CPX-104141,PDB-CPX-104142
PDB-CPX-104141,PDB-CPX-104143
PDB-CPX-104141,PDB-CPX-104144
PDB-CPX-104151,PDB-CPX-104150
PDB-CPX-104160,PDB-CPX-104156
PDB-CPX-104160,PDB-CPX-104157
PDB-CPX-104160,PDB-CPX-104158
PDB-CPX-104160,PDB-CPX-104159
PDB-CPX-104161,PDB-CPX-104156
PDB-CPX-104161,PDB-CPX-104157
PDB-CPX-104161,PDB-CPX-104158
PDB-CPX-104161,PDB-CPX-104159
PDB-CPX-104161,PDB-CPX-104160
PDB-CPX-104192,PDB-CPX-104188
PDB-CPX-104198,PDB-CPX-104199
PDB-CPX-104227,PDB-CPX-104228
PDB-CPX-104252,PDB-CPX-104253
PDB-CPX-104258,PDB-CPX-104257
PDB-CPX-104329,PDB-CPX-104330
PDB-CPX-104391,PDB-CPX-104392
PDB-CPX-104432,PDB-CPX-104433
PDB-CPX-104432,PDB-CPX-104434
PDB-CPX-104432,PDB-CPX-104435
PDB-CPX-104501,PDB-CPX-104503
PDB-CPX-104501,PDB-CPX-104504
PDB-CPX-104501,PDB-CPX-104505
PDB-CPX-104501,PDB-CPX-104506
PDB-CPX-104501,PDB-CPX-104507
PDB-CPX-104501,PDB-CPX-104508
PDB-CPX-104501,PDB-CPX-104509
PDB-CPX-104501,PDB-CPX-104510
PDB-CPX-104545,PDB-CPX-104546
PDB-CPX-104561,PDB-CPX-104562
PDB-CPX-104577,PDB-CPX-104578
PDB-CPX-104594,PDB-CPX-104595
PDB-CPX-104680,PDB-CPX-104681
PDB-CPX-104683,PDB-CPX-104684
PDB-CPX-104686,PDB-CPX-104687
PDB-CPX-104688,PDB-CPX-104690
PDB-CPX-104688,PDB-CPX-104691
PDB-CPX-104688,PDB-CPX-104692
PDB-CPX-104720,PDB-CPX-104721
PDB-CPX-104750,PDB-CPX-104751
PDB-CPX-104760,PDB-CPX-104756
PDB-CPX-104760,PDB-CPX-104757
PDB-CPX-104760,PDB-CPX-104758
PDB-CPX-104760,PDB-CPX-104759
PDB-CPX-104763,PDB-CPX-104761
PDB-CPX-104763,PDB-CPX-104762
PDB-CPX-104769,PDB-CPX-104762
PDB-CPX-104814,PDB-CPX-102949
PDB-CPX-104816,PDB-CPX-104775
PDB-CPX-104816,PDB-CPX-104776
PDB-CPX-104816,PDB-CPX-104777
PDB-CPX-104816,PDB-CPX-104778
PDB-CPX-104817,PDB-CPX-102950
PDB-CPX-104874,PDB-CPX-104873
PDB-CPX-104875,PDB-CPX-102949
PDB-CPX-104893,PDB-CPX-104756
PDB-CPX-104893,PDB-CPX-104757
PDB-CPX-104893,PDB-CPX-104758
PDB-CPX-104893,PDB-CPX-104759
PDB-CPX-104893,PDB-CPX-104760
PDB-CPX-104893,PDB-CPX-104761
PDB-CPX-104893,PDB-CPX-104762
PDB-CPX-104893,PDB-CPX-104763
PDB-CPX-104893,PDB-CPX-104894
PDB-CPX-104893,PDB-CPX-104895
PDB-CPX-104893,PDB-CPX-104896
PDB-CPX-104943,PDB-CPX-104944
PDB-CPX-104961,PDB-CPX-104962
PDB-CPX-104961,PDB-CPX-104963
PDB-CPX-105056,PDB-CPX-105054
PDB-CPX-105056,PDB-CPX-105055
PDB-CPX-105059,PDB-CPX-105057
PDB-CPX-105059,PDB-CPX-105058
PDB-CPX-105073,PDB-CPX-105074
PDB-CPX-105117,PDB-CPX-105118
PDB-CPX-105121,PDB-CPX-104040
PDB-CPX-105121,PDB-CPX-105122
PDB-CPX-105121,PDB-CPX-105123
PDB-CPX-105122,PDB-CPX-104040
PDB-CPX-105138,PDB-CPX-105137
PDB-CPX-105142,PDB-CPX-105136
PDB-CPX-105142,PDB-CPX-105137
PDB-CPX-105163,PDB-CPX-105162
PDB-CPX-105178,PDB-CPX-105151
PDB-CPX-105189,PDB-CPX-105190
PDB-CPX-105233,PDB-CPX-105232
PDB-CPX-105244,PDB-CPX-105242
PDB-CPX-105246,PDB-CPX-105247
