"ID","METHOD_CLASS"
"6flo","x-ray"
"5pvp","x-ray"
"4l0r","x-ray"
"2prs","x-ray"
"4fmg","x-ray"
"5qs8","x-ray"
"1ju8","nmr"
"5oak","x-ray"
"1ncz","x-ray"
"3rdh","x-ray"
"2vr2","x-ray"
"6ynt","x-ray"
"3omv","x-ray"
"4jpw","x-ray"
"4wm1","x-ray"
"1l0k","x-ray"
"6buh","x-ray"
"1s57","x-ray"
"3hcv","x-ray"
"3k6g","x-ray"
"3txq","x-ray"
"6r8a","x-ray"
"1a6q","x-ray"
"6y4a","x-ray"
"3k2g","x-ray"
"6mj0","x-ray"
"1n2d","x-ray"
"1jqd","x-ray"
"2v2d","x-ray"
"5kxq","x-ray"
"2nzc","x-ray"
"6l0j","x-ray"
"5q75","x-ray"
"6gms","nmr"
"7kvs","x-ray"
"6agk","x-ray"
"5vlp","x-ray"
"6m4t","x-ray"
"7cem","x-ray"
"6kvh","x-ray"
"6s2o","em"
"6hp7","x-ray"
"4tur","x-ray"
"6em3","em"
"1mhp","x-ray"
"1cpo","x-ray"
"5i6e","x-ray"
"4hwb","x-ray"
"7aq8","x-ray"
"2ae8","x-ray"
"1wnl","x-ray"
"1aun","x-ray"
"5v82","x-ray"
"1lw3","x-ray"
"7c2d","x-ray"
"1s23","x-ray"
"6svs","x-ray"
"3et8","x-ray"
"2io8","x-ray"
"3ikp","x-ray"
"5ole","x-ray"
"3p6j","x-ray"
"5qg7","x-ray"
"3i1l","x-ray"
"7ljo","x-ray"
"5t7u","x-ray"
"2ofm","x-ray"
"6w89","x-ray"
"1tag","x-ray"
"3gcg","x-ray"
"7ehx","x-ray"
"1bar","x-ray"
"6jrc","x-ray"
"1w5y","x-ray"
"6rns","x-ray"
"6rik","x-ray"
"7nxe","x-ray"
"3uge","x-ray"
"2viu","x-ray"
"3jwq","x-ray"
"6onj","x-ray"
"1hj8","x-ray"
"5j6t","nmr"
"7mil","em"
"2vf1","x-ray"
"6krh","x-ray"
"2jmg","nmr"
"1ml7","x-ray"
"5e23","x-ray"
"7cvw","x-ray"
"3mun","x-ray"
"4wrg","x-ray"
"4o2i","x-ray"
"2ix8","em"
"4dol","x-ray"
"1kaj","nmr"
"2lwy","nmr"
"4efl","x-ray"
"5p4r","x-ray"
"1nzk","x-ray"
"5ffh","x-ray"
"6z6s","x-ray"
"5wsv","x-ray"
"2uua","x-ray"
"5aao","x-ray"
"6vb9","x-ray"
"3bef","x-ray"
"4pzj","x-ray"
"4prn","x-ray"
"6kxs","em"
"1mik","x-ray"
"7juk","x-ray"
"7rwg","x-ray"
"2pka","x-ray"
"2lc8","nmr"
"2m1w","nmr"
"3aw5","x-ray"
"6hz0","x-ray"
"3hlf","x-ray"
"1b7z","x-ray"
"1haz","x-ray"
"2bku","x-ray"
"2zhq","x-ray"
"6kb2","x-ray"
"1iwg","x-ray"
"5fi3","x-ray"
"4wsw","x-ray"
"6eut","x-ray"
"1hlc","x-ray"
"7kk3","x-ray"
"6u4b","x-ray"
"2guf","x-ray"
"4lnh","x-ray"
"6sk4","x-ray"
"1w54","x-ray"
"1yfy","x-ray"
"2f05","nmr"
"1cyy","x-ray"
"6vgn","em"
